S.No,Category (Landing Page),Sub Category,Product / Service Name,Type,Unit Mapping,Alt / Secondary Units,Quantity Parameters
1,Accounting Services,Tax Consulting,Accounting Ledger Book - Tax Consulting Variant 1,Product,Litre,Barrel,20
2,Accounting Services,Tax Consulting,GST Invoice Book - Tax Consulting Variant 2,Product,Piece,Dozen,30
3,Accounting Services,Tax Consulting,Tally ERP Software - Tax Consulting Variant 3,Product,Set,Lot,40
4,Accounting Services,Tax Consulting,Digital Signature Certificate - Tax Consulting Variant 4,Product,Meter,Roll,50
5,Accounting Services,Tax Consulting,Balance Sheet Template - Tax Consulting Variant 5,Product,Box,Carton,60
6,Accounting Services,Tax Consulting,Audit Report Binder - Tax Consulting Variant 6,Product,Bag,Pallet,70
7,Accounting Services,Tax Consulting,Payroll Management Software - Tax Consulting Variant 7,Product,Unit,Lot,80
8,Accounting Services,Tax Consulting,Company Seal - Tax Consulting Variant 8,Product,License,Subscription,90
9,Accounting Services,Tax Consulting,Tax Calculation Software - Tax Consulting Variant 9,Product,Service,Contract,100
10,Accounting Services,Tax Consulting,Tax Filing Software - Tax Consulting Variant 10,Product,Ton,MT,110
11,Accounting Services,Tax Consulting,Accounting Ledger Book - Tax Consulting Variant 11,Product,Pack,Carton,120
12,Accounting Services,Tax Consulting,GST Invoice Book - Tax Consulting Variant 12,Product,Gram,Kg,130
13,Accounting Services,Tax Consulting,Tally ERP Software - Tax Consulting Variant 13,Product,Can,Pallet,140
14,Accounting Services,Tax Consulting,Digital Signature Certificate - Tax Consulting Variant 14,Product,Book,Box,150
15,Accounting Services,Tax Consulting,Balance Sheet Template - Tax Consulting Variant 15,Product,Certificate,Lot,160
16,Accounting Services,Tax Consulting,Audit Report Binder - Tax Consulting Variant 16,Product,Credit,Pack,170
17,Accounting Services,Tax Consulting,GST Registration - Tax Consulting Package 1,Service,Per Project,Contract,1
18,Accounting Services,Tax Consulting,Annual Audit Service - Tax Consulting Package 2,Service,Per Project,Contract,1
19,Accounting Services,Tax Consulting,Bookkeeping Monthly - Tax Consulting Package 3,Service,Per Project,Contract,1
20,Accounting Services,Tax Consulting,Payroll Processing - Tax Consulting Package 4,Service,Per Project,Contract,1
21,Accounting Services,Tax Consulting,Tax Return Filing - Tax Consulting Package 5,Service,Per Project,Contract,1
22,Accounting Services,Audit Services,Accounting Ledger Book - Audit Services Variant 1,Product,Per Day,Monthly,230
23,Accounting Services,Audit Services,GST Invoice Book - Audit Services Variant 2,Product,Per Sample,Batch,240
24,Accounting Services,Audit Services,Tally ERP Software - Audit Services Variant 3,Product,Per Trip,Contract,250
25,Accounting Services,Audit Services,Digital Signature Certificate - Audit Services Variant 4,Product,Per Formula,Contract,260
26,Accounting Services,Audit Services,Balance Sheet Template - Audit Services Variant 5,Product,Per Animal,Annual,270
27,Accounting Services,Audit Services,Audit Report Binder - Audit Services Variant 6,Product,Sheet,Box,280
28,Accounting Services,Audit Services,Payroll Management Software - Audit Services Variant 7,Product,Roll,Pallet,290
29,Accounting Services,Audit Services,Company Seal - Audit Services Variant 8,Product,Sqft,Sqmt,300
30,Accounting Services,Audit Services,Tax Calculation Software - Audit Services Variant 9,Product,Sqmt,Acre,310
31,Accounting Services,Audit Services,Tax Filing Software - Audit Services Variant 10,Product,Kg,Ton,320
32,Accounting Services,Audit Services,Accounting Ledger Book - Audit Services Variant 11,Product,Litre,Barrel,330
33,Accounting Services,Audit Services,GST Invoice Book - Audit Services Variant 12,Product,Piece,Dozen,340
34,Accounting Services,Audit Services,Tally ERP Software - Audit Services Variant 13,Product,Set,Lot,350
35,Accounting Services,Audit Services,Digital Signature Certificate - Audit Services Variant 14,Product,Meter,Roll,360
36,Accounting Services,Audit Services,Balance Sheet Template - Audit Services Variant 15,Product,Box,Carton,370
37,Accounting Services,Audit Services,Audit Report Binder - Audit Services Variant 16,Product,Bag,Pallet,380
38,Accounting Services,Audit Services,GST Registration - Audit Services Package 1,Service,Per Project,Contract,1
39,Accounting Services,Audit Services,Annual Audit Service - Audit Services Package 2,Service,Per Project,Contract,1
40,Accounting Services,Audit Services,Bookkeeping Monthly - Audit Services Package 3,Service,Per Project,Contract,1
41,Accounting Services,Audit Services,Payroll Processing - Audit Services Package 4,Service,Per Project,Contract,1
42,Accounting Services,Audit Services,Tax Return Filing - Audit Services Package 5,Service,Per Project,Contract,1
43,Accounting Services,Bookkeeping,Accounting Ledger Book - Bookkeeping Variant 1,Product,Gram,Kg,440
44,Accounting Services,Bookkeeping,GST Invoice Book - Bookkeeping Variant 2,Product,Can,Pallet,450
45,Accounting Services,Bookkeeping,Tally ERP Software - Bookkeeping Variant 3,Product,Book,Box,460
46,Accounting Services,Bookkeeping,Digital Signature Certificate - Bookkeeping Variant 4,Product,Certificate,Lot,470
47,Accounting Services,Bookkeeping,Balance Sheet Template - Bookkeeping Variant 5,Product,Credit,Pack,480
